Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX
2021-11-08,171.0,174.1999969482422,168.5,171.6999969482422,133.5774688720703,8761953,0.0,0,24.196927223230073
2021-11-09,172.0500030517578,172.39999389648438,169.60000610351562,170.5,132.6439208984375,5723308,0.0,0,22.50192051038069
2021-11-10,169.89999389648438,170.85000610351562,166.4499969482422,166.6999969482422,129.6876220703125,9212143,0.0,0,21.485158680215427
2021-11-11,165.89999389648438,167.64999389648438,165.1999969482422,167.0,129.9210205078125,6453205,0.0,0,20.775732829309277
2021-11-12,168.85000610351562,168.85000610351562,165.6999969482422,166.9499969482422,129.8821258544922,7027513,0.0,0,19.832431306640842
2021-11-15,164.25,167.60000610351562,159.5,159.75,124.28073120117188,19400018,0.0,0,20.050895463852886
2021-11-16,161.0,161.64999389648438,158.60000610351562,159.0500030517578,123.73615264892578,8505431,0.0,0,20.392873066893902
2021-11-17,159.0500030517578,159.25,155.6999969482422,156.10000610351562,121.44114685058594,7477627,0.0,0,21.14306537471274
2021-11-18,156.0500030517578,157.75,153.0,153.39999389648438,119.34061431884766,12981172,0.0,0,22.20868636041646
2021-11-22,152.1999969482422,152.89999389648438,149.10000610351562,150.5500030517578,117.12340545654295,11522286,0.0,0,23.673970178445185
2021-11-23,150.0,156.75,150.0,156.1999969482422,121.51895904541016,13305061,0.0,0,24.01810357970607
2021-11-24,158.3000030517578,161.64999389648438,155.60000610351562,159.10000610351562,123.77507019042967,18809310,0.0,0,23.23415928980444
2021-11-25,161.5,162.8000030517578,156.0,158.5500030517578,123.3471908569336,22402592,0.0,0,22.26807338456158
2021-11-26,157.75,159.39999389648438,155.35000610351562,155.89999389648438,121.28556060791016,11829847,0.0,0,21.484728836496696
2021-11-29,155.89999389648438,156.64999389648438,151.89999389648438,154.25,120.00189971923828,18176163,0.0,0,21.33750598114238
2021-11-30,158.5,158.5,151.35000610351562,152.0,118.25147247314452,56643275,0.0,0,20.772364327405004
2021-12-01,153.60000610351562,156.25,152.5500030517578,155.5500030517578,121.01325988769533,16283427,0.0,0,20.247589934648868
2021-12-02,156.89999389648438,159.5500030517578,155.14999389648438,159.3000030517578,123.9306411743164,15647910,0.0,0,18.997721166305695
2021-12-03,159.0,160.6999969482422,158.25,159.75,124.28073120117188,20414051,0.0,0,17.694758265319198
